网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
文明OL,3D,半Q版,XL GAMES,,历史,即时,道具收费,93,大型角色扮演,,"《文明OL》是XLGAMES获得授权后，由《天堂》之父宋在京领导的团队打造的一款基于协作的网游。游戏采用CE3引擎开发，开发系基于由世界著名的游戏设计大师席德•梅尔打造，该系列以吸引玩家的深度而闻名。在游戏中，玩家们可以合作建立从石器时代到太空时代期间的...          
        <div>
          《文明OL》是XLGAMES获得授权后，由《天堂》之父宋在京领导的团队打造的一款基于协作的网游。游戏采用CE3引擎开发，开发系基于由世界著名的游戏设计大师席德&bull;梅尔打造，该系列以吸引玩家的深度而闻名。在游戏中，玩家们可以合作建立从石器时代到太空时代期间的任意一种文明，自建化身以及选择在帝国扩展过程中所扮演的角色。同时，玩家更可以研究、发展新的科技，建造城邦以及伟大的奇迹建筑，发动战争或通过间谍活动，以求在这个富于变化的游戏世界中击败其他玩家及其文明。        </div>
      
      [查看详细]"
圣斗士星矢,3D,半Q版,完美世界,完美世界(大陆),奇幻,即时,道具收费,2384,大型角色扮演,"游戏于2011年07月入库，
                  共7次测试",大型3D多人在线角色扮演MMORPG游戏《圣斗士星矢》由完美世界制作，采用自主研发的Athena引擎开发。游戏延续了漫画中小宇宙、黄金圣衣、十二宫等经典体验，让玩家在游戏中感受热血沸腾的战斗场面，体验真实原著的宏大世界。
仙侠世界,3D,写实,巨人网络,巨人网络(大陆),玄幻,即时,道具收费,17804,大型角色扮演,"游戏于2012年05月入库，
                  共9次测试",《仙侠世界》是巨人网络开发的一款3D仙侠类网游，游戏注重个人成长，同时比较注重GVG模式的小团体对抗。游戏以中国传统神话故事和民间传说为基础，研发团队针对中国玩家游戏习惯深入研究和发掘，将GVG模式嵌入到游戏基础架构中，突破原有体系创造新的社会关系。
晴空物语,3D,Q版,传奇网络,昆仑万维(大陆),奇幻,即时,道具收费,2301,大型角色扮演,"游戏于2011年03月入库，
                  共3次测试",《晴空物语》游戏主打种族变身、无锁定技能，除了多达20万字剧情任务及副本外，还包含了随时随地的怪物攻城、战场系统、裂隙突发事件、工会领地建设等玩法。同时，游戏还以数百套清新亮丽的avatar时装系统、可爱腻人的宠物座骑，意想不到的动漫造型，打造超萌日式网游。
大海战4,3D,写实,SD Enter Net,酷派天空(大陆),历史,即时,道具收费,169,第三人称射击,"游戏于2013年02月入库，
                  共3次测试","《大海战4》是酷派天空代理的二战背景的海战策略网游《大海战》的正统续作（国服曾用名：大海战2，大海战3，海战世界）。《大海战4》的游戏背景是以1895年至1945年美、英、德、日、法、苏、意7国海战史为游戏背景，真实还原了富兰克群岛海战、日德兰海战等众多经典海...          
        <div>
          《大海战4》是酷派天空代理的二战背景的海战策略网游《大海战》的正统续作（国服曾用名：大海战2，大海战3，海战世界）。《大海战4》的游戏背景是以1895年至1945年美、英、德、日、法、苏、意7国海战史为游戏背景，真实还原了富兰克群岛海战、日德兰海战等众多经典海战战役，玩家可以跟随游戏独创的历史任务系统体验到真正的世界海战。游戏加入了资源抢夺、军官养成、荣誉军阶与生产税收等全新竞技游戏概念，内容更加全面丰富。玩家可以通过战术策略指挥系统和开放式的战术研究，来体验到最真实、严酷的海洋争霸。        </div>
      
      [查看详细]"
剑侠世界2,2D,写实,金山软件,金山软件(大陆),武侠,即时,道具收费,193,大型角色扮演,"游戏于2008年01月入库，
                  共5次测试",《剑侠世界2》（原剑侠世界）是西山居尖端团队打造的剑侠情缘系列2D作品，在优化剑侠情缘系列前作众多核心功能点的同时利用新引擎打造2D画面质感特效。
硝云弹雨,3D,写实,Aquiris Game Studio,Aquiris Game Studio (欧美),奇幻,即时,未确定,3,第一人称射击,,"硝云弹雨（Ballistic Overkill) 是一个快节奏PVP射击游戏. 7种不同职业可供选择, 每种都有自己的独特技能和武器. 通过不同的装备技能组合, 每个角色都有各色各样的构筑方案. 没有软弱的辅助职业, 在枪林弹雨中每个人都是杀手!"
完美世界,3D,写实,完美世界,完美世界(大陆),奇幻,即时,计时收费,502,大型角色扮演,"游戏于2005年04月入库，
                  共1次测试",《完美世界》是由完美世界公司打造的一款大型网络游戏。游戏以盘古开天地为引子，在中国上古神话传说的基础上营造了一个独特的历史空间，以史诗般的背景和的波澜壮阔的剧情，为玩家展现了一个古老神秘、充满未知的奇幻世界。
龙之信条OL,3D,半写实,CAPCOM,,奇幻,即时,道具收费,33,动作角色扮演,,"Capcom正式公布了旗下最新网游作品《龙之信条OL》。据悉，本作将采用免费制（道具收费）运营，预计于2015年登陆PC/PS3/PS4平台，据Capcom英国代表称，《龙之信条OL》暂无在西方发售的计划。《龙之信条OL》和系列之前的作品很像，粘性攻击得以保留。在本作中，玩家将...          
        <div>
          Capcom正式公布了旗下最新网游作品《龙之信条OL》。据悉，本作将采用免费制（道具收费）运营，预计于2015年登陆PC/PS3/PS4平台，据Capcom英国代表称，《龙之信条OL》暂无在西方发售的计划。《龙之信条OL》和系列之前的作品很像，粘性攻击得以保留。在本作中，玩家将面对巨型敌人的攻击，另外怪物们可以被激怒，发动更强力的攻击。        </div>
      
      [查看详细]"
星空精灵,3D,半写实,Barunson Games,,奇幻,即时,未确定,26,大型角色扮演,,"《星空精灵》（暂译，曾用名：A计划,Project A）是款幻想风格3D MMORPG网游，该游戏的主要特点是大规模战斗和特殊的召唤兽系统“Jinn”。玩家可在游戏中通过卡牌的方式收集获得或合成创造召唤兽，并且在战斗时最多可召唤2只召唤兽协助战斗。召唤兽拥有专有...          
        <div>
          《星空精灵》（暂译，曾用名：A计划,Project A）是款幻想风格3D MMORPG网游，该游戏的主要特点是大规模战斗和特殊的召唤兽系统&ldquo;Jinn&rdquo;。玩家可在游戏中通过卡牌的方式收集获得或合成创造召唤兽，并且在战斗时最多可召唤2只召唤兽协助战斗。召唤兽拥有专有的特殊技能，并且技能可以学习以及升级。        </div>
      
      [查看详细]"
权御天下,3D,半写实,绿岸网络,绿岸网络(大陆),玄幻,即时,免费,263,大型角色扮演,"游戏于2016年03月入库，
                  共2次测试",《权御天下》（开发曾用名：代号“朕”）回溯时光至3000年前的幻想神魔纪元，带领玩家重启封神之路。游戏以武王伐纣为历史背景，借昆仑秘境之力，重塑五方悍国伐商而起。玩家志在行天道而灭乱神，夺天子而统九州。
侵蚀角斗场,2.5D,半Q版,,,科幻,即时,未确定,1,动作角色扮演,,"《侵蚀角斗场》（暂译，原名为Corroded）是由Encircle Games推出的一款线上多人竞技场游戏。《侵蚀角斗场》拥有可容纳六名玩家同时不断遭到侵蚀而下沉的竞技场，玩家通过控制一个战斗机器人，可以使用各种武器，也可以赤手空拳战斗，在竞技场中彼此交战与攻击，企图...          
        <div>
          《侵蚀角斗场》（暂译，原名为Corroded）是由Encircle Games推出的一款线上多人竞技场游戏。《侵蚀角斗场》拥有可容纳六名玩家同时不断遭到侵蚀而下沉的竞技场，玩家通过控制一个战斗机器人，可以使用各种武器，也可以赤手空拳战斗，在竞技场中彼此交战与攻击，企图把对手打到场外，以赢得胜利。        </div>
      
      [查看详细]"
自由足球,3D,Q版,JOYCITY,上海昊嘉(大陆),现代,即时,道具收费,201,体育,"游戏于2010年03月入库，
                  共6次测试",《自由足球》是街头篮球开发商韩国JCE公司开发的卡通休闲体育网络游戏。
创想兵团,3D,Q版,游智信息,上海淘米(大陆),魔幻,即时,道具收费,400,第三人称射击,"游戏于2013年02月入库，
                  共3次测试",《创想兵团》是一款3D多人在线第三人称射击类游戏，融合了TPS、FPS、RPG等诸多元素。卡通幽默的游戏风格，在射击游戏的基础上，带入了角色养成的游戏体验。
怪物猎人：边境G,3D,半写实,CAPCOM,,奇幻,即时,未确定,24,动作角色扮演,,"《怪物猎人：边境 Online》（モンスターハンターフロンティア）是由CAPCOM的名作《怪物猎人》的网游版，平台为PC/XBOX360，本作以PS2版《怪物猎人2(dos)》为基础开发，游戏系统基本继承《怪物猎人》系列的系统，同时仰赖于网络的便捷，不断的增加新的怪物的场地，使...          
        <div>
          《怪物猎人：边境 Online》（モンスターハンターフロンティア）是由CAPCOM的名作《怪物猎人》的网游版，平台为PC/XBOX360，本作以PS2版《怪物猎人2(dos)》为基础开发，游戏系统基本继承《怪物猎人》系列的系统，同时仰赖于网络的便捷，不断的增加新的怪物的场地，使得本作比起主机版游戏更具有生命力。        </div>
      
      [查看详细]"
花园战争2,3D,Q版,PopCap Games,,奇幻,即时,一次性付费,14,第三人称射击,,《植物大战僵尸：花园战争2》是植物大战僵尸系列衍生作品《花园战争》的续作，游戏中植物和僵尸都变成了可以操控的角色，玩家可以操纵这些技能、特性各异的植物与僵尸们进行一场欢乐的射击对战。
新寻仙,3D,半写实,像素软件,腾讯(大陆),奇幻,即时,道具收费,364,大型角色扮演,"游戏于2006年08月入库，
                  共3次测试","由像素软件研发，腾讯代理的中国传统神话美术片网游大作《新寻仙》耗时三年投资数千万开发。《寻仙》游戏画面具有中国美术片风格、以为人熟知的中国传统神话为题材，由你来导演平头老百姓的本色故事。高画质低配置。轻松上手，门槛低。游戏特色表现为：独创的战斗体...          
        <div>
          由像素软件研发，腾讯代理的中国传统神话美术片网游大作《新寻仙》耗时三年投资数千万开发。《寻仙》游戏画面具有中国美术片风格、以为人熟知的中国传统神话为题材，由你来导演平头老百姓的本色故事。高画质低配置。轻松上手，门槛低。游戏特色表现为：独创的战斗体系和动作感很强的法宝大战；首创的多人骑宠，无论是旅行还是战斗，都有与众不同的感受；独特的情感体系，使角色在虚拟世界中更加真实，更加绘声绘色，让你在游戏中的社交和生活更加轻松、有趣！        </div>
      
      [查看详细]"
战机世界,3D,写实,Wargaming,空中网(大陆),历史,即时,道具收费,2066,第三人称射击,"游戏于2011年08月入库，
                  共5次测试","《战机世界》是由白俄罗斯战争游戏研发公司wargaming出品，空中网在中国大陆独家运营的一款空战类TPS网游，以二战为背景，玩家可以驾驶战机进行激烈的空战，游戏除了能够攻击敌机还能够摧毁地面目标，也提供了PVP玩法。另外，玩家还可以升级机型、装备，增强自己的战...          
        <div>
          《战机世界》是由白俄罗斯战争游戏研发公司wargaming出品，空中网在中国大陆独家运营的一款空战类TPS网游，以二战为背景，玩家可以驾驶战机进行激烈的空战，游戏除了能够攻击敌机还能够摧毁地面目标，也提供了PVP玩法。另外，玩家还可以升级机型、装备，增强自己的战斗实力，挑战更强的对手。目前开放的游戏地图均由二战时期的真实风貌绘制而成，包含&ldquo;太平洋&rdquo;、&ldquo;北非沙漠&rdquo;等主战场，又不乏&ldquo;北极雪山&rdquo;这样的极地场景。        </div>
      
      [查看详细]"
